application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,blade,150,0.5,9.334,6.433,5.952,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,scalloped,150,0.5,9.334,5.112,2.843,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,v-groove,150,0.5,9.334,4.667,2.475,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,u-groove,150,0.5,9.334,5.39,2.536,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,blade,200,0.5,12.445,8.577,7.936,True
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,scalloped,200,0.5,12.445,6.816,3.79,True
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,v-groove,200,0.5,12.445,6.223,3.3,True
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,u-groove,200,0.5,12.445,7.187,3.382,True
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,blade,300,0.5,18.668,12.866,8.659,True
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,scalloped,300,0.5,18.668,10.225,5.685,True
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,v-groove,300,0.5,18.668,9.334,4.951,True
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,u-groove,300,0.5,18.668,10.78,5.026,True
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,blade,400,0.5,24.89,17.154,4.769,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,scalloped,400,0.5,24.89,13.633,4.844,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,v-groove,400,0.5,24.89,12.445,5.138,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,u-groove,400,0.5,24.89,14.374,3.78,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,blade,600,0.5,37.335,25.731,-5.501,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,scalloped,600,0.5,37.335,20.449,0.678,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,v-groove,600,0.5,37.335,18.668,1.807,False
car_roof,attached zone only; rear separation NOT modelled,22,2113142.239048134,0.97174,u-groove,600,0.5,37.335,21.561,-0.099,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,blade,50,0.5,3.75,2.585,2.391,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,scalloped,50,0.5,3.75,2.054,1.142,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,v-groove,50,0.5,3.75,1.875,0.995,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,u-groove,50,0.5,3.75,2.166,1.019,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,blade,75,0.5,5.625,3.877,3.587,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,scalloped,75,0.5,5.625,3.081,1.713,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,v-groove,75,0.5,5.625,2.813,1.492,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,u-groove,75,0.5,5.625,3.249,1.528,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,blade,100,0.5,7.5,5.169,4.783,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,scalloped,100,0.5,7.5,4.108,2.284,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,v-groove,100,0.5,7.5,3.75,1.989,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,u-groove,100,0.5,7.5,4.331,2.038,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,blade,150,0.5,11.251,7.754,7.174,True
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,scalloped,150,0.5,11.251,6.162,3.427,True
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,v-groove,150,0.5,11.251,5.625,2.984,True
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,u-groove,150,0.5,11.251,6.497,3.057,True
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,blade,200,0.5,15.001,10.339,9.566,True
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,scalloped,200,0.5,15.001,8.216,4.569,True
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,v-groove,200,0.5,15.001,7.5,3.978,True
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,u-groove,200,0.5,15.001,8.663,4.076,True
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,blade,300,0.5,22.501,15.508,6.401,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,scalloped,300,0.5,22.501,12.324,5.437,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,v-groove,300,0.5,22.501,11.251,5.555,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,u-groove,300,0.5,22.501,12.994,4.354,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,blade,400,0.5,30.002,20.677,0.86,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,scalloped,400,0.5,30.002,16.433,3.306,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,v-groove,400,0.5,30.002,15.001,3.94,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,u-groove,400,0.5,30.002,17.326,2.334,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,blade,600,0.5,45.002,31.016,-12.883,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,scalloped,600,0.5,45.002,24.649,-2.449,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,v-groove,600,0.5,45.002,22.501,-0.771,False
car_roof,attached zone only; rear separation NOT modelled,27,2593401.838831801,1.1713,u-groove,600,0.5,45.002,25.989,-2.972,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,blade,50,0.5,4.504,3.104,2.872,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,scalloped,50,0.5,4.504,2.467,1.372,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,v-groove,50,0.5,4.504,2.252,1.195,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,u-groove,50,0.5,4.504,2.601,1.224,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,blade,75,0.5,6.757,4.657,4.309,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,scalloped,75,0.5,6.757,3.701,2.058,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,v-groove,75,0.5,6.757,3.378,1.792,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,u-groove,75,0.5,6.757,3.902,1.836,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,blade,100,0.5,9.009,6.209,5.745,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,scalloped,100,0.5,9.009,4.934,2.744,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,v-groove,100,0.5,9.009,4.504,2.389,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,u-groove,100,0.5,9.009,5.203,2.448,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,blade,150,0.5,13.513,9.313,8.617,True
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,scalloped,150,0.5,13.513,7.402,4.116,True
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,v-groove,150,0.5,13.513,6.757,3.584,True
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,u-groove,150,0.5,13.513,7.804,3.672,True
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,blade,200,0.5,18.018,12.418,8.982,True
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,scalloped,200,0.5,18.018,9.869,5.488,True
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,v-groove,200,0.5,18.018,9.009,4.778,True
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,u-groove,200,0.5,18.018,10.405,4.896,True
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,blade,300,0.5,27.027,18.627,3.197,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,scalloped,300,0.5,27.027,14.803,4.238,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,v-groove,300,0.5,27.027,13.513,4.676,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,u-groove,300,0.5,27.027,15.608,3.207,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,blade,400,0.5,36.036,24.836,-4.319,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,scalloped,400,0.5,36.036,19.738,1.173,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,v-groove,400,0.5,36.036,18.018,2.212,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,u-groove,400,0.5,36.036,20.81,0.358,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,blade,600,0.5,54.054,37.254,-22.37,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,scalloped,600,0.5,54.054,29.606,-6.521,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,v-groove,600,0.5,54.054,27.027,-4.155,False
car_roof,attached zone only; rear separation NOT modelled,33,3169713.3585722013,1.40688,u-groove,600,0.5,54.054,31.216,-6.7,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,blade,50,0.5,5.125,3.532,3.268,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,scalloped,50,0.5,5.125,2.807,1.561,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,v-groove,50,0.5,5.125,2.562,1.359,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,u-groove,50,0.5,5.125,2.959,1.392,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,blade,75,0.5,7.687,5.298,4.902,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,scalloped,75,0.5,7.687,4.21,2.341,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,v-groove,75,0.5,7.687,3.843,2.039,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,u-groove,75,0.5,7.687,4.439,2.089,False
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,blade,100,0.5,10.249,7.064,6.536,True
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,scalloped,100,0.5,10.249,5.614,3.122,True
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,v-groove,100,0.5,10.249,5.125,2.718,True
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,u-groove,100,0.5,10.249,5.919,2.785,True
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,blade,150,0.5,15.374,10.596,9.803,True
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,scalloped,150,0.5,15.374,8.421,4.682,True
car_roof,attached zone only; rear separation NOT modelled,38,3649972.958355868,1.60056,v-groove,150,0.5,15.374,7.687,4.077,True
