application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,u-groove,30,0.5,1.07,0.618,0.291,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,blade,40,0.5,1.427,0.983,0.91,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,scalloped,40,0.5,1.427,0.782,0.435,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,v-groove,40,0.5,1.427,0.713,0.378,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,u-groove,40,0.5,1.427,0.824,0.388,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,blade,50,0.5,1.784,1.229,1.137,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,scalloped,50,0.5,1.784,0.977,0.543,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,v-groove,50,0.5,1.784,0.892,0.473,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,u-groove,50,0.5,1.784,1.03,0.485,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,blade,60,0.5,2.14,1.475,1.365,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,scalloped,60,0.5,2.14,1.172,0.652,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,v-groove,60,0.5,2.14,1.07,0.568,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,u-groove,60,0.5,2.14,1.236,0.582,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,blade,80,0.5,2.854,1.967,1.82,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,scalloped,80,0.5,2.854,1.563,0.869,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,v-groove,80,0.5,2.854,1.427,0.757,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,u-groove,80,0.5,2.854,1.648,0.775,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,blade,100,0.5,3.567,2.459,2.275,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,scalloped,100,0.5,3.567,1.954,1.086,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,v-groove,100,0.5,3.567,1.784,0.946,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,u-groove,100,0.5,3.567,2.06,0.969,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,blade,150,0.5,5.351,3.688,3.412,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,scalloped,150,0.5,5.351,2.931,1.63,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,v-groove,150,0.5,5.351,2.675,1.419,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,u-groove,150,0.5,5.351,3.09,1.454,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,blade,200,0.5,7.134,4.917,4.549,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,scalloped,200,0.5,7.134,3.908,2.173,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,v-groove,200,0.5,7.134,3.567,1.892,False
uav_wing,"flat-plate analogy, friction-dominated",10,192103.83991346674,0.55708,u-groove,200,0.5,7.134,4.12,1.939,False
