application,body,U_inf_mps,Re,u_tau_mps,shape,spacing_um,h_over_s,s_plus,lg_plus,DR_friction_pct,in_band
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,v-groove,20,0.5,0.089,0.045,0.024,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,u-groove,20,0.5,0.089,0.052,0.024,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,blade,25,0.5,0.112,0.077,0.071,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,scalloped,25,0.5,0.112,0.061,0.034,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,v-groove,25,0.5,0.112,0.056,0.03,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,u-groove,25,0.5,0.112,0.065,0.03,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,blade,30,0.5,0.134,0.092,0.086,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,scalloped,30,0.5,0.134,0.074,0.041,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,v-groove,30,0.5,0.134,0.067,0.036,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,u-groove,30,0.5,0.134,0.078,0.036,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,blade,40,0.5,0.179,0.123,0.114,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,scalloped,40,0.5,0.179,0.098,0.054,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,v-groove,40,0.5,0.179,0.089,0.047,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,u-groove,40,0.5,0.179,0.103,0.049,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,blade,50,0.5,0.224,0.154,0.143,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,scalloped,50,0.5,0.224,0.123,0.068,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,v-groove,50,0.5,0.224,0.112,0.059,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,u-groove,50,0.5,0.224,0.129,0.061,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,blade,75,0.5,0.336,0.231,0.214,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,scalloped,75,0.5,0.336,0.184,0.102,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,v-groove,75,0.5,0.336,0.168,0.089,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,u-groove,75,0.5,0.336,0.194,0.091,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,blade,100,0.5,0.447,0.308,0.285,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,scalloped,100,0.5,0.447,0.245,0.136,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,v-groove,100,0.5,0.447,0.224,0.119,False
swimwear,water; do not transfer air results directly,1.5,1176235.9550561798,0.06986,u-groove,100,0.5,0.447,0.258,0.122,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,blade,10,0.5,0.053,0.036,0.034,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,scalloped,10,0.5,0.053,0.029,0.016,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,v-groove,10,0.5,0.053,0.026,0.014,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,u-groove,10,0.5,0.053,0.03,0.014,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,blade,15,0.5,0.079,0.055,0.05,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,scalloped,15,0.5,0.079,0.043,0.024,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,v-groove,15,0.5,0.079,0.04,0.021,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,u-groove,15,0.5,0.079,0.046,0.022,False
swimwear,water; do not transfer air results directly,1.8,1411483.1460674158,0.08244,blade,20,0.5,0.106,0.073,0.067,False
